trial_id,class_name,display_name,accepted,cue_onset_sample,imagery_onset_sample,imagery_offset_sample,trial_end_sample,note
1,tongue,舌头想象,1,1018,1391,2409,2931,
2,feet,双脚想象,1,3941,4325,5329,5866,
3,right_hand,右手想象,1,6873,7256,8273,8790,
4,left_hand,左手想象,1,9805,10171,11201,11724,
5,tongue,舌头想象,1,12738,13115,14127,14645,
6,feet,双脚想象,1,15665,16046,17058,17574,
7,left_hand,左手想象,1,18585,18963,19986,20507,
8,right_hand,右手想象,1,21511,21900,22903,23439,
9,left_hand,左手想象,1,24445,24826,25852,26364,
10,tongue,舌头想象,1,27367,27763,28774,29288,
11,feet,双脚想象,1,30312,30679,31704,32215,
12,right_hand,右手想象,1,33236,33616,34627,35144,
13,feet,双脚想象,1,36147,36541,37549,38077,
14,tongue,舌头想象,1,39088,39471,40476,41001,
15,left_hand,左手想象,1,42015,42393,43396,43919,
16,right_hand,右手想象,1,44935,45320,46335,46854,
17,feet,双脚想象,1,47869,48254,49262,49766,
18,tongue,舌头想象,1,50799,51180,52176,52717,
19,left_hand,左手想象,1,53726,54114,55117,55641,
20,right_hand,右手想象,1,56645,57034,58050,58562,
21,right_hand,右手想象,1,59588,59968,60968,61496,
22,left_hand,左手想象,1,62513,62887,63902,64422,
23,feet,双脚想象,1,65410,65821,66830,67356,
24,tongue,舌头想象,1,68363,68735,69748,70282,
25,left_hand,左手想象,1,71292,71680,72692,73212,
26,feet,双脚想象,1,74220,74595,75613,76133,
27,tongue,舌头想象,1,77139,77537,78537,79053,
28,right_hand,右手想象,1,80073,80456,81470,81975,
29,right_hand,右手想象,1,83005,83380,84409,84928,
30,left_hand,左手想象,1,85934,86329,87330,87846,
31,feet,双脚想象,1,88863,89248,90266,90789,
32,tongue,舌头想象,1,91805,92182,93193,93712,
33,left_hand,左手想象,1,94732,95108,96119,96650,
34,tongue,舌头想象,1,97654,98036,99053,99562,
35,feet,双脚想象,1,100586,100970,101981,102482,
36,right_hand,右手想象,1,103509,103896,104912,105432,
37,right_hand,右手想象,1,106440,106818,107838,108353,
38,left_hand,左手想象,1,109358,109738,110760,111284,
39,feet,双脚想象,1,112298,112673,113694,114212,
40,tongue,舌头想象,1,115224,115608,116613,117137,
