segment_id,save_index,segment_type,label,start_sample,end_sample,duration_sec,trial_id,mi_run_index,run_trial_index,block_index,prompt_index,accepted,execution_success,source_start_event,source_end_event
1,1,trial,left_hand,2,2351,9.396,1,1,1,,,1,,trial_start,trial_end
2,1,baseline,left_hand,3,532,2.116,1,1,1,,,1,,fixation_start,baseline_end
3,1,cue,left_hand,533,809,1.104,1,1,1,,,1,,cue_start,imagery_start
4,1,imagery,left_hand,809,1819,4.04,1,1,1,,,1,,imagery_start,imagery_end
5,1,iti,left_hand,1820,2351,2.124,1,1,1,,,1,,iti_start,trial_end
6,1,trial,right_hand,2352,4688,9.344,2,1,2,,,1,,trial_start,trial_end
7,1,baseline,right_hand,2353,2860,2.028,2,1,2,,,1,,fixation_start,baseline_end
8,1,cue,right_hand,2861,3159,1.192,2,1,2,,,1,,cue_start,imagery_start
9,1,imagery,right_hand,3159,4163,4.016,2,1,2,,,1,,imagery_start,imagery_end
10,1,iti,right_hand,4164,4688,2.096,2,1,2,,,1,,iti_start,trial_end
11,1,trial,feet,4689,7021,9.328,3,1,3,,,1,,trial_start,trial_end
12,1,baseline,feet,4690,5210,2.08,3,1,3,,,1,,fixation_start,baseline_end
13,1,cue,feet,5211,5434,0.892,3,1,3,,,1,,cue_start,imagery_start
14,1,imagery,feet,5434,6468,4.136,3,1,3,,,1,,imagery_start,imagery_end
15,1,iti,feet,6469,7021,2.208,3,1,3,,,1,,iti_start,trial_end
16,1,trial,tongue,7022,9342,9.28,4,1,4,,,1,,trial_start,trial_end
17,1,baseline,tongue,7023,7530,2.028,4,1,4,,,1,,fixation_start,baseline_end
18,1,cue,tongue,7531,7815,1.136,4,1,4,,,1,,cue_start,imagery_start
19,1,imagery,tongue,7815,8758,3.772,4,1,4,,,1,,imagery_start,imagery_end
20,1,iti,tongue,8759,9342,2.332,4,1,4,,,1,,iti_start,trial_end
21,1,trial,feet,9343,10241,3.592,5,1,5,,,0,,trial_start,trial_end
22,1,baseline,feet,9344,9866,2.088,5,1,5,,,0,,fixation_start,baseline_end
23,1,cue,feet,9867,10150,1.132,5,1,5,,,0,,cue_start,imagery_start
24,1,imagery,feet,10150,10240,0.36,5,1,5,,,0,,imagery_start,imagery_end
