segment_id,save_index,segment_type,label,start_sample,end_sample,duration_sec,trial_id,mi_run_index,run_trial_index,block_index,prompt_index,accepted,execution_success,source_start_event,source_end_event
1,1,trial,tongue,102598,104937,9.356,1,1,1,,,1,,trial_start,trial_end
2,1,baseline,tongue,102599,103111,2.048,1,1,1,,,1,,fixation_start,baseline_end
3,1,cue,tongue,103112,103410,1.192,1,1,1,,,1,,cue_start,imagery_start
4,1,imagery,tongue,103410,104413,4.012,1,1,1,,,1,,imagery_start,imagery_end
5,1,iti,tongue,104414,104937,2.092,1,1,1,,,1,,iti_start,trial_end
6,1,trial,left_hand,104938,107258,9.28,2,1,2,,,1,,trial_start,trial_end
7,1,baseline,left_hand,104939,105461,2.088,2,1,2,,,1,,fixation_start,baseline_end
8,1,cue,left_hand,105462,105731,1.076,2,1,2,,,1,,cue_start,imagery_start
9,1,imagery,left_hand,105731,106749,4.072,2,1,2,,,1,,imagery_start,imagery_end
10,1,iti,left_hand,106750,107258,2.032,2,1,2,,,1,,iti_start,trial_end
11,1,trial,feet,107259,109578,9.276,3,1,3,,,1,,trial_start,trial_end
12,1,baseline,feet,107260,107782,2.088,3,1,3,,,1,,fixation_start,baseline_end
13,1,cue,feet,107783,108051,1.072,3,1,3,,,1,,cue_start,imagery_start
14,1,imagery,feet,108051,109069,4.072,3,1,3,,,1,,imagery_start,imagery_end
15,1,iti,feet,109070,109578,2.032,3,1,3,,,1,,iti_start,trial_end
16,1,trial,right_hand,109579,111913,9.336,4,1,4,,,1,,trial_start,trial_end
17,1,baseline,right_hand,109580,110117,2.148,4,1,4,,,1,,fixation_start,baseline_end
18,1,cue,right_hand,110118,110386,1.072,4,1,4,,,1,,cue_start,imagery_start
19,1,imagery,right_hand,110386,111344,3.832,4,1,4,,,1,,imagery_start,imagery_end
20,1,iti,right_hand,111345,111913,2.272,4,1,4,,,1,,iti_start,trial_end
21,1,trial,tongue,111914,114248,9.336,5,1,5,,,1,,trial_start,trial_end
