segment_id,save_index,segment_type,label,start_sample,end_sample,duration_sec,trial_id,mi_run_index,run_trial_index,block_index,prompt_index,accepted,execution_success,source_start_event,source_end_event
1,1,trial,tongue,29,2335,9.224,1,1,1,,,1,,trial_start,trial_end
2,1,baseline,tongue,30,552,2.088,1,1,1,,,1,,fixation_start,baseline_end
3,1,cue,tongue,553,806,1.012,1,1,1,,,1,,cue_start,imagery_start
4,1,imagery,tongue,806,1826,4.08,1,1,1,,,1,,imagery_start,imagery_end
5,1,iti,tongue,1827,2335,2.032,1,1,1,,,1,,iti_start,trial_end
6,1,trial,feet,2336,4414,8.312,2,1,2,,,1,,trial_start,trial_end
7,1,baseline,feet,2337,2872,2.14,2,1,2,,,1,,fixation_start,baseline_end
8,1,cue,feet,2873,3141,1.072,2,1,2,,,1,,cue_start,imagery_start
9,1,imagery,feet,3141,4159,4.072,2,1,2,,,1,,imagery_start,imagery_end
10,1,iti,feet,4160,4414,1.016,2,1,2,,,1,,iti_start,trial_end
