trial_id,class_name,display_name,accepted,cue_onset_sample,imagery_onset_sample,imagery_offset_sample,trial_end_sample,note
1,tongue,舌头想象,1,1010,1384,2404,2925,
2,feet,双脚想象,1,3938,4317,5334,5850,
3,right_hand,右手想象,1,6867,7251,8256,8778,
4,left_hand,左手想象,1,9791,10171,11189,11712,
5,tongue,舌头想象,1,12720,13101,14110,14634,
6,feet,双脚想象,1,15650,16029,17042,17566,
7,left_hand,左手想象,1,18574,18958,19976,20488,
8,right_hand,右手想象,1,21505,21892,22897,23418,
9,left_hand,左手想象,1,24438,24812,25829,26353,
10,tongue,舌头想象,1,27363,27745,28763,29280,
11,feet,双脚想象,1,30291,30679,31692,32206,
12,right_hand,右手想象,1,33222,33609,34616,35140,
13,feet,双脚想象,1,36156,36535,37550,38071,
14,tongue,舌头想象,1,39084,39466,40478,40999,
15,left_hand,左手想象,1,42012,64872,65882,66398,
16,right_hand,右手想象,1,67416,67798,68807,69330,
17,feet,双脚想象,1,70348,70723,71739,72265,
18,tongue,舌头想象,1,73273,73656,74669,75185,
19,left_hand,左手想象,1,76191,76576,77594,78114,
20,right_hand,右手想象,1,79122,79506,80525,81046,
