segment_id,save_index,segment_type,label,start_sample,end_sample,duration_sec,trial_id,mi_run_index,run_trial_index,block_index,prompt_index,accepted,execution_success,source_start_event,source_end_event
1,1,trial,tongue,16,2590,10.296,1,1,1,,,1,,trial_start,trial_end
2,1,baseline,tongue,17,524,2.028,1,1,1,,,1,,fixation_start,baseline_end
3,1,cue,tongue,525,1048,2.092,1,1,1,,,1,,cue_start,imagery_start
4,1,imagery,tongue,1048,2066,4.072,1,1,1,,,1,,imagery_start,imagery_end
5,1,iti,tongue,2067,2590,2.092,1,1,1,,,1,,iti_start,trial_end
6,1,trial,feet,2591,5150,10.236,2,1,2,,,1,,trial_start,trial_end
7,1,baseline,feet,2592,3099,2.028,2,1,2,,,1,,fixation_start,baseline_end
8,1,cue,feet,3100,3623,2.092,2,1,2,,,1,,cue_start,imagery_start
9,1,imagery,feet,3623,4641,4.072,2,1,2,,,1,,imagery_start,imagery_end
10,1,iti,feet,4642,5150,2.032,2,1,2,,,1,,iti_start,trial_end
11,1,trial,left_hand,5151,7725,10.296,3,1,3,,,1,,trial_start,trial_end
12,1,baseline,left_hand,5152,5674,2.088,3,1,3,,,1,,fixation_start,baseline_end
13,1,cue,left_hand,5675,6198,2.092,3,1,3,,,1,,cue_start,imagery_start
14,1,imagery,left_hand,6198,7201,4.012,3,1,3,,,1,,imagery_start,imagery_end
15,1,iti,left_hand,7202,7725,2.092,3,1,3,,,1,,iti_start,trial_end
16,1,trial,right_hand,7726,10300,10.296,4,1,4,,,1,,trial_start,trial_end
17,1,baseline,right_hand,7727,8249,2.088,4,1,4,,,1,,fixation_start,baseline_end
18,1,cue,right_hand,8250,8773,2.092,4,1,4,,,1,,cue_start,imagery_start
19,1,imagery,right_hand,8773,9791,4.072,4,1,4,,,1,,imagery_start,imagery_end
20,1,iti,right_hand,9792,10300,2.032,4,1,4,,,1,,iti_start,trial_end
21,1,trial,feet,10301,12874,10.292,5,1,5,,,1,,trial_start,trial_end
22,1,baseline,feet,10302,10824,2.088,5,1,5,,,1,,fixation_start,baseline_end
23,1,cue,feet,10825,11347,2.088,5,1,5,,,1,,cue_start,imagery_start
24,1,imagery,feet,11347,12365,4.072,5,1,5,,,1,,imagery_start,imagery_end
25,1,iti,feet,12366,12874,2.032,5,1,5,,,1,,iti_start,trial_end
26,1,trial,left_hand,12875,15449,10.296,6,1,6,,,1,,trial_start,trial_end
27,1,baseline,left_hand,12876,13398,2.088,6,1,6,,,1,,fixation_start,baseline_end
