trial_id,class_name,display_name,accepted,cue_onset_sample,imagery_onset_sample,imagery_offset_sample,trial_end_sample,note
1,tongue,舌头想象,1,1011,1399,2410,2925,
2,feet,双脚想象,1,3943,4326,5333,5857,
3,right_hand,右手想象,1,6869,7247,8263,8784,
4,left_hand,左手想象,1,9791,10172,11185,11706,
5,tongue,舌头想象,1,12716,13103,14116,14631,
6,feet,双脚想象,1,15650,16032,17041,17559,
7,left_hand,左手想象,1,18578,18956,19966,20493,
8,right_hand,右手想象,1,21497,21882,22903,23416,
9,left_hand,左手想象,1,24431,24819,25826,26347,
10,tongue,舌头想象,1,27364,27741,28753,29276,
11,feet,双脚想象,1,30292,30672,31678,32203,
12,right_hand,右手想象,1,33217,33598,34612,35130,
13,feet,双脚想象,1,36137,36522,37538,38054,
14,tongue,舌头想象,1,39071,39451,40463,40987,
15,left_hand,左手想象,1,42001,42379,43392,43916,
16,right_hand,右手想象,1,44926,45313,46331,46846,
17,feet,双脚想象,1,47852,48241,49259,49775,
18,tongue,舌头想象,1,50791,51175,52184,52705,
19,left_hand,左手想象,1,53718,54100,55108,55627,
20,right_hand,右手想象,1,56646,57028,58037,58561,
21,right_hand,右手想象,1,59576,59960,60979,61496,
22,left_hand,左手想象,1,62512,62899,63907,64432,
23,feet,双脚想象,1,65448,65826,66839,67363,
24,tongue,舌头想象,1,68375,68760,69773,70297,
25,left_hand,左手想象,1,71305,71688,72698,73220,
26,feet,双脚想象,1,74234,74612,75626,76150,
27,tongue,舌头想象,1,77166,77543,78557,79071,
28,right_hand,右手想象,1,80088,80468,81480,82004,
29,right_hand,右手想象,1,83013,83395,84411,84925,
30,left_hand,左手想象,1,85941,86319,87333,87854,
31,feet,双脚想象,1,88861,89238,90260,90776,
32,tongue,舌头想象,1,91789,92173,93187,93710,
33,left_hand,左手想象,1,94723,95105,96120,96639,
34,tongue,舌头想象,1,97650,98032,99046,99563,
35,feet,双脚想象,1,100572,100963,101975,102493,
36,right_hand,右手想象,1,103507,103889,104893,105421,
37,right_hand,右手想象,1,106435,106819,107838,108354,
38,left_hand,左手想象,1,109366,109744,110760,111284,
39,feet,双脚想象,1,112293,112676,113691,114209,
40,tongue,舌头想象,1,115222,115608,116615,117139,
